DATA;HORA;CONSUM (Wh)
2016-07-19;0;446
2016-07-19;1;492
2016-07-19;2;435
2016-07-19;3;466
2016-07-19;4;572
2016-07-19;5;0
2016-07-19;6;0
2016-07-19;7;0
2016-07-19;8;0
2016-07-19;9;0
2016-07-19;10;0
2016-07-19;11;0
2016-07-19;12;0
2016-07-19;13;0
2016-07-19;14;0
2016-07-19;15;0
2016-07-19;16;0
2016-07-19;17;0
2016-07-19;18;0
2016-07-19;19;0
2016-07-19;20;0
2016-07-19;21;0
2016-07-19;22;0
2016-07-19;23;0
;;
2016-07-20;0;455
2016-07-20;1;450
2016-07-20;2;443
2016-07-20;3;435
2016-07-20;4;432
2016-07-20;5;437
2016-07-20;6;487
2016-07-20;7;646
2016-07-20;8;1173
2016-07-20;9;3808
2016-07-20;10;1772
2016-07-20;11;2326
2016-07-20;12;1916
2016-07-20;13;1024
2016-07-20;14;476
2016-07-20;15;432
2016-07-20;16;403
2016-07-20;17;1111
2016-07-20;18;1102
2016-07-20;19;1222
2016-07-20;20;1154
2016-07-20;21;1743
2016-07-20;22;1755
2016-07-20;23;1570
;;
2016-07-21;0;1503
2016-07-21;1;1523
2016-07-21;2;1529
2016-07-21;3;1524
2016-07-21;4;1537
2016-07-21;5;1519
2016-07-21;6;1336
2016-07-21;7;470
2016-07-21;8;409
2016-07-21;9;368
2016-07-21;10;399
2016-07-21;11;678
2016-07-21;12;1047
2016-07-21;13;606
2016-07-21;14;508
2016-07-21;15;828
2016-07-21;16;521
2016-07-21;17;417
2016-07-21;18;429
2016-07-21;19;460
2016-07-21;20;596
2016-07-21;21;555
2016-07-21;22;992
2016-07-21;23;420
;;
2016-07-22;0;437
2016-07-22;1;412
2016-07-22;2;381
2016-07-22;3;406
2016-07-22;4;406
2016-07-22;5;406
2016-07-22;6;439
2016-07-22;7;756
2016-07-22;8;1716
2016-07-22;9;901
2016-07-22;10;415
2016-07-22;11;412
2016-07-22;12;485
2016-07-22;13;1318
2016-07-22;14;452
2016-07-22;15;412
2016-07-22;16;491
2016-07-22;17;592
2016-07-22;18;511
2016-07-22;19;1211
2016-07-22;20;1167
2016-07-22;21;473
2016-07-22;22;502
2016-07-22;23;429
;;
2016-07-23;0;567
2016-07-23;1;472
2016-07-23;2;433
2016-07-23;3;468
2016-07-23;4;417
2016-07-23;5;470
2016-07-23;6;490
2016-07-23;7;506
2016-07-23;8;608
2016-07-23;9;449
2016-07-23;10;1285
2016-07-23;11;1329
2016-07-23;12;520
2016-07-23;13;552
2016-07-23;14;502
2016-07-23;15;790
2016-07-23;16;1257
2016-07-23;17;439
2016-07-23;18;547
2016-07-23;19;747
2016-07-23;20;1170
2016-07-23;21;473
2016-07-23;22;493
2016-07-23;23;477
;;
2016-07-24;0;429
2016-07-24;1;436
2016-07-24;2;453
2016-07-24;3;395
2016-07-24;4;445
2016-07-24;5;406
2016-07-24;6;511
2016-07-24;7;635
2016-07-24;8;2150
2016-07-24;9;3162
2016-07-24;10;1901
2016-07-24;11;1447
2016-07-24;12;694
2016-07-24;13;671
2016-07-24;14;913
2016-07-24;15;905
2016-07-24;16;523
2016-07-24;17;561
2016-07-24;18;478
2016-07-24;19;1173
2016-07-24;20;2856
2016-07-24;21;2741
2016-07-24;22;2853
2016-07-24;23;564
;;
2016-07-25;0;493
2016-07-25;1;420
2016-07-25;2;379
2016-07-25;3;454
2016-07-25;4;397
2016-07-25;5;418
2016-07-25;6;427
2016-07-25;7;508
2016-07-25;8;1360
2016-07-25;9;1505
2016-07-25;10;429
2016-07-25;11;421
2016-07-25;12;447
2016-07-25;13;768
2016-07-25;14;1243
2016-07-25;15;618
2016-07-25;16;766
2016-07-25;17;468
2016-07-25;18;422
2016-07-25;19;491
2016-07-25;20;1837
2016-07-25;21;1382
2016-07-25;22;919
2016-07-25;23;913
;;
2016-07-26;0;436
2016-07-26;1;479
2016-07-26;2;377
2016-07-26;3;440
2016-07-26;4;431
2016-07-26;5;539
2016-07-26;6;519
2016-07-26;7;527
2016-07-26;8;487
2016-07-26;9;783
2016-07-26;10;426
2016-07-26;11;413
2016-07-26;12;419
2016-07-26;13;601
2016-07-26;14;2015
2016-07-26;15;626
2016-07-26;16;440
2016-07-26;17;456
2016-07-26;18;446
2016-07-26;19;715
2016-07-26;20;2814
2016-07-26;21;1806
2016-07-26;22;1185
2016-07-26;23;659
;;
2016-07-27;0;483
2016-07-27;1;441
2016-07-27;2;441
2016-07-27;3;466
2016-07-27;4;425
2016-07-27;5;419
2016-07-27;6;478
2016-07-27;7;503
2016-07-27;8;1726
2016-07-27;9;676
2016-07-27;10;382
2016-07-27;11;415
2016-07-27;12;414
2016-07-27;13;512
2016-07-27;14;1545
2016-07-27;15;1100
2016-07-27;16;525
2016-07-27;17;463
2016-07-27;18;719
2016-07-27;19;1683
2016-07-27;20;2165
2016-07-27;21;927
2016-07-27;22;842
2016-07-27;23;643
;;
2016-07-28;0;566
2016-07-28;1;554
2016-07-28;2;555
2016-07-28;3;540
2016-07-28;4;580
2016-07-28;5;495
2016-07-28;6;544
2016-07-28;7;1126
2016-07-28;8;846
2016-07-28;9;458
2016-07-28;10;466
2016-07-28;11;417
